object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 224 
object alloc, Thread is main, class is Landroid/view/DisplayAdjustments;, size is 16, tag is 225 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 226 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 227 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 228 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 229 
object alloc, Thread is main, class is Landroid/content/res/AssetManager$Builder;, size is 16, tag is 230 
object alloc, Thread is main, class is Ljava/util/ArrayList;, size is 24, tag is 231 
object alloc, Thread is main, class is [Landroid/content/res/ApkAssets;, size is 32, tag is 232 
object alloc, Thread is main, class is Landroid/content/res/AssetManager;, size is 40, tag is 233 
object alloc, Thread is main, class is Ljava/lang/ref/FinalizerReference;, size is 40, tag is 234 
object alloc, Thread is main, class is Landroid/util/TypedValue;, size is 40, tag is 235 
object alloc, Thread is main, class is [J, size is 32, tag is 236 
object alloc, Thread is main, class is Landroid/util/DisplayMetrics;, size is 64, tag is 237 
object alloc, Thread is main, class is Landroid/view/DisplayAdjustments;, size is 16, tag is 238 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 239 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 240 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 241 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 242 
object alloc, Thread is main, class is Landroid/util/Pair;, size is 16, tag is 243 
object alloc, Thread is main, class is Landroid/view/DisplayInfo;, size is 160, tag is 244 
object alloc, Thread is main, class is [I, size is 16, tag is 245 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 246 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 247 
object alloc, Thread is main, class is Landroid/graphics/Region;, size is 16, tag is 248 
object alloc, Thread is main, class is Ljava/lang/ref/FinalizerReference;, size is 40, tag is 249 
object alloc, Thread is main, class is Landroid/view/DisplayCutout;, size is 16, tag is 250 
object alloc, Thread is main, class is [Landroid/view/Display$Mode;, size is 16, tag is 251 
object alloc, Thread is main, class is Landroid/view/Display$Mode;, size is 24, tag is 252 
object alloc, Thread is main, class is [I, size is 24, tag is 253 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 254 
object alloc, Thread is main, class is Landroid/view/Display$HdrCapabilities;, size is 24, tag is 255 
object alloc, Thread is main, class is [I, size is 16, tag is 256 
object alloc, Thread is main, class is [I, size is 24, tag is 257 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 258 
object alloc, Thread is main, class is Landroid/content/res/MiuiResourcesImpl;, size is 152, tag is 259 
object alloc, Thread is main, class is Ljava/lang/Object;, size is 8, tag is 260 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 261 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 262 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 263 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 264 
object alloc, Thread is main, class is Landroid/content/res/DrawableCache;, size is 24, tag is 265 
object alloc, Thread is main, class is Landroid/content/res/DrawableCache;, size is 24, tag is 266 
object alloc, Thread is main, class is Landroid/content/res/ConfigurationBoundResourceCache;, size is 24, tag is 267 
object alloc, Thread is main, class is Landroid/content/res/ConfigurationBoundResourceCache;, size is 24, tag is 268 
object alloc, Thread is main, class is Landroid/content/res/ConfigurationBoundResourceCache;, size is 24, tag is 269 
object alloc, Thread is main, class is Ljava/lang/ThreadLocal$SuppliedThreadLocal;, size is 16, tag is 270 
object alloc, Thread is main, class is [I, size is 32, tag is 271 
object alloc, Thread is main, class is [Ljava/lang/String;, size is 32, tag is 272 
object alloc, Thread is main, class is [Landroid/content/res/XmlBlock;, size is 32, tag is 273 
object alloc, Thread is main, class is Landroid/util/DisplayMetrics;, size is 64, tag is 274 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 275 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 276 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 277 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 278 
